ID ,,Life Cycle,,Cultivated?,,Leaf type,,Leaf Type 2,,,Leaf size,,,Plant form,,,,,,,,Rooting depth,Pollination,,,,,,,Seed dispersal,,,,,
Raghand,AMTR,1,0,0,1,1,0,0,1,0,9,20,180,1,0,0,0,0,0,0,,100-400,0,1,0,0,0,0,0,1,1,0,1,1,
Rattlebox,CRSP2,1,0,0,1,1,0,0,1,0,10,5,50,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,1,0,0,0,
Rocket Grass,PAGE2,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
rosemary ,ROOF,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
rudbeckia,DRAM,1,0,0,1,1,0,0,0,0,10,4,40,1,0,0,0,0,0,0,,15,0,0,1,0,0,0,0,1,0,0,0,0,
regular sawleaf yellow bud (malvaceae),SIRH,0,1,0,1,1,0,0,0,0,8,3,24,1,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0,0,0,1,1,
Spiky Sawleaf Yellow Bud,MACO6,1,0,0,1,1,0,0,0,0,,,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Shattering teardrops,RASA,1,0,0,1,0,1,0,1,0,7,5,35,1,0,0,0,0,0,0,,2,0,0,1,0,0,0,0,0,1,0,0,0,
Shield Fern,DRMA4,0,1,1,0,0,1,0,1,0,,,0,1,0,0,0,0,0,0,,,0,0,1,0,1,0,0,1,0,0,0,0,
Silky Single Spike (SSS),SPORO,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
"Smartweed, smart weed",POFO2,0,1,0,1,1,0,0,0,1,2,0.5,1,1,0,0,0,0,0,0,,,0,0,1,1,0,0,0,0,0,0,1,1,
Smilax,SMILA2,0,1,0,1,1,0,0,1,0,12,8,96,0,0,0,0,0,1,0,,,0,0,1,0,0,0,0,0,0,0,1,0,
sorrell,OXDI2,0,1,0,1,0,1,0,1,0,0.9,5,4.5,1,0,0,0,0,0,0,,deep,0,0,0,1,0,0,0,0,1,0,0,0,
space gun,GECA5,1,0,0,1,0,1,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
sprangletop,LEPA3,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Purperea,ECPU,0,1,0,1,1,0,1,0,0,10,6,60,1,0,0,0,0,0,0,,10,0,0,1,0,0,0,0,0,1,0,0,0,
Purple Umbel Mint,VEBR2,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Verbena,VEHA2 (VEBR2),0,1,0,1,1,0,0,1,0,12,5,60,1,0,0,0,0,0,0,,15,0,0,1,0,0,0,0,0,0,0,1,0,
Starfish grass,DAAE,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
step grass,PADI3,0,1,0,1,1,0,0,1,0,,,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Sticky Tickler,SOAL6,,1,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Sticky Seed,BIVU,1,0,0,1,1,0,0,1,0,6,2,12,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,1,0,
Straw Grass,LOPE,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Sugar Cane Plume Grass,SAGI,0,1,0,1,1,0,1,0,0,150,5,750,0,0,0,0,1,0,0,,60,0,0,1,0,1,0,0,0,0,0,0,1,
Sunflower,HEAN3,1,0,1,0,1,0,0,1,0,20,10,200,1,0,0,0,0,0,0,,20,0,1,1,0,0,0,0,0,1,0,0,0,
Sweet Olive,OSFR2,0,1,1,0,1,0,1,0,0,10,5,50,0,0,0,0,0,1,1,3.5,,0,0,1,0,0,0,0,0,0,0,1,0,
tada sedge,KYBR,0,1,0,1,1,0,0,1,0,20,0.35,7,0,0,0,0,1,0,0,,,0,1,0,0,0,0,0,1,1,0,0,0,
Tadada Grass,CYPS,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Tadadada sedge,CYEC2,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Tall Aster,ASTER,1,0,0,1,1,0,0,1,0,7,3,21,1,0,0,0,0,0,0,,15,0,0,1,0,0,0,0,1,0,0,1,0,
Triangle clover,OXRE5,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Triangle Wetland Plant,CODI5,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Trifoliate Spurge,KUST2,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
"Cattail, Cat Tail",TYLA,0,1,0,1,1,0,0,1,0,20,2.5,50,1,0,0,0,0,0,0,,13,0,1,0,0,0,0,0,1,0,0,0,1,
Vetch,VISA,1,0,0,1,1,0,0,1,0,3,1,3,1,0,0,0,0,0,0,,80,0,0,1,0,0,0,0,0,0,0,1,0,
Viola,VIAF2,1,1,0,1,1,0,0,1,0,11,,0,1,0,0,0,0,0,0,,3,0,0,0,1,0,0,0,0,0,0,0,0,
umble onion,ALCA3,0,1,0,1,1,0,0,1,0,50,0.7,35,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,1,0,0,0,
Viny evergreen ground cover,VIMI2,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Wandering Jew,TRPA10,0,1,1,0,1,0,1,0,0,13,2.5,32.5,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,1,0,0,0,
Water Oak seedling,QUNI,0,1,0,1,1,0,1,0,0,5,3,15,0,0,0,0,0,0,1,,,0,1,0,0,0,0,0,0,0,0,1,0,
Weed leaf,VIAG,0,1,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Weed sedge,CYER2,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Whirling broad leaf other (WB other),ECPR,1,1,0,1,1,0,0,1,0,10,2.5,25,1,0,0,0,0,0,0,,,0,0,0,1,0,0,0,1,1,0,0,1,
whirling broad leaf star (WB star),DIVI3,1,1,0,1,1,0,0,1,0,6.35,2.5,15.875,0,0,0,0,0,0,0,,DEEP TAPROOTS,0,0,0,0,0,0,0,0,1,0,0,0,
Wild Garlic,ALVI,0,1,0,1,1,0,1,0,0,6,1,6,1,0,0,0,0,0,0,,12,0,0,1,1,0,0,0,0,1,0,0,0,
Wild Tobacco,SOMA3,0,1,0,1,1,0,0,0,1,12,5,60,0,0,0,0,0,1,1,4,,0,0,1,0,0,0,0,0,0,0,1,0,
Modiola,MOCA,1,1,0,1,0,1,0,0,0,7.62,5,38.1,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Wild Lettuce,LACA,1,0,0,1,1,0,0,1,0,35,,0,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,1,0,0,0,1,
woody nettle-shaped leaf,CRATA,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
wrinkle leaf snow stem,RUNUN,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
yellow scratchleaf,CAVI2,1,1,0,1,1,0,1,1,1,3.5,2.5,8.75,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,
pseudocreeper,CAJA7,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
wild strawberry,DUIN,0,1,0,1,0,1,0,0,1,5,3,15,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,1,0,0,0,
foxtail,SEPA10,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
alternating joint grass,DICI,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Heavenly Bamboo,NADO,0,1,1,0,1,0,0,0,1,10,5,50,0,0,0,0,0,1,0,0.5,,0,0,1,1,0,0,0,0,0,0,1,0,
Citrus,CITRUS,1,1,1,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Black nightshade,SONI,1,1,0,1,1,0,0,1,0,5,2,10,1,0,0,0,0,0,0,,7,0,0,1,1,0,0,0,0,0,0,1,0,
Amaryllis,AMARY,1,0,1,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Iris,IRIS,1,0,1,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Ficus,FICUS,0,1,1,0,1,1,0,0,1,,,0,0,0,0,0,0,1,1,,,0,0,1,1,0,0,0,0,0,0,1,0,
Victory grass,PANO2,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Small victory,PAMI4,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Virginia Creeper,PAQU2,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Hydrangea,CLBU,0,1,1,0,1,0,0,0,1,30,20,600,0,0,0,0,0,1,0,2,,0,0,1,0,0,0,0,0,0,0,1,0,
Clerodendrum sp,CLERO2,0,1,1,0,1,0,1,0,1,30,20,600,0,0,0,0,0,1,0,2,,0,0,1,0,0,0,0,0,0,0,1,0,
Aloe,ALVE2,0,1,1,0,1,0,0,1,0,45,5,225,0,0,0,1,0,0,0,,5,0,0,0,0,0,1,0,1,0,0,0,0,
American holly,ILOP,0,1,0,1,1,0,0,0,1,7,3,21,0,0,0,0,0,1,1,15,,0,0,1,0,0,0,0,0,0,0,1,0,
Baby Dandy,YOJA,1,0,0,1,0,1,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Bay Tree,LANO80,0,1,0,1,1,0,0,0,1,10,5,50,0,0,0,0,0,1,1,12,shallow,0,0,1,0,0,0,0,0,0,0,1,0,
Bed straw,GAAP2,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Camellia,CASI16,0,1,1,0,1,0,0,0,1,8,3,24,0,0,0,0,0,1,0,4,22.5,0,0,1,0,0,0,0,0,1,0,0,0,
Cast Iron Plant,ASEL,0,1,0,1,1,0,0,0,1,50,20,1000,0,0,0,0,0,1,0,0.6,,0,0,1,0,0,0,0,0,1,0,0,0,
Eggplant,SOME,0,1,1,0,0,1,0,1,0,10,5,50,1,0,0,0,0,0,0,,150,0,0,0,1,0,0,0,0,1,0,0,0,
Maidenhair Fern,ADPE,0,1,1,0,1,0,0,1,0,5,1,5,1,0,0,0,0,0,0,,10,0,0,0,1,0,0,0,0,1,0,0,0,
Maple vine,CAQU3,1,1,0,1,0,1,0,1,0,7,5,35,1,0,0,0,0,0,0,,30,0,0,1,0,0,0,0,0,0,0,1,0,
Oleander,NEOL,0,1,0,1,1,0,0,0,1,15,3,45,0,0,0,0,0,1,0,4,60,0,0,1,1,0,0,0,1,0,0,0,1,
Ovule vine,CUOB,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Eastern poison ivy,TORA2,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Chinese tallow,TRSE6,0,1,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Tall Okra,ABES,1,0,0,1,0,1,0,1,0,29.5,10,295,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,1,0,0,0,0,
blackberry,RUBU,1,0,0,1,1,0,0,1,0,10,5,50,1,0,0,0,0,0,0,,,0,0,0,1,0,0,0,0,0,0,1,0,
tiny purple snapdragon ,MAPU7,1,,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
oak sapling,QUVI,0,1,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Unknown oak,QUERC,0,1,0,1,1,1,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
,QUFA,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
,QURU,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Vitis rotundifolia,VIRO3,0,1,0,1,1,0,0,0,1,13,11,143,0,1,0,0,0,0,0,,,0,0,1,0,0,0,0,0,0,0,1,0,
musa seedling ,MUPA3,1,0,0,1,1,0,0,0,0,100,30,3000,1,0,0,0,0,0,0,,,0,0,1,0,1,0,0,0,0,0,0,0,
Musa sp,MUSA,1,0,0,1,1,0,0,1,0,100,30,3000,1,0,0,0,0,0,0,,,0,0,1,0,1,0,0,0,0,0,1,0,
Crown flower,PHLA3,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
"Large Clover, apple bottom",OXDE3,0,1,0,1,0,1,0,0,0,5,6,30,1,0,0,0,0,0,0,,1.5-3cm,0,0,1,0,0,0,0,0,1,0,0,0,
fuzzy step grass,PAUR2,0,1,0,1,1,0,0,0,0,61,1.5,91.5,0,0,0,0,1,0,0,,,0,1,0,0,0,0,0,0,0,0,0,0,
Lantana,LACA2,0,1,0,1,1,0,1,0,0,,,0,0,1,0,0,0,1,0,,,0,0,1,1,0,0,0,0,0,0,1,0,
Lamb Sawleaf (relaxed_spike?),SISP,1,1,0,1,1,0,0,0,0,3,1.6,4.8,1,0,0,0,0,0,0,,,0,0,1,1,0,0,0,0,0,0,0,0,
Milky dandelion ,LAFL,1,0,0,1,0,1,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Oliveish Shrub,VINU,0,1,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Pansy,VITR,1,0,1,0,1,0,0,1,0,7,3,21,1,0,0,0,0,0,0,,15 cm,0,0,1,0,0,0,0,0,0,1,0,0,
Rose,ROSA5,0,1,1,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Spearmint,MESP3,0,1,1,0,1,0,0,1,0,9,3,27,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,1,0,0,0,
Pea vine,RHMI4,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
rain lily,ZECA,0,1,0,1,1,0,1,0,0,10,0.3,3,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Rain Tree,KOPA,0,1,0,1,0,1,1,0,0,10,5,50,0,0,0,0,0,0,1,,40,0,0,1,0,0,0,0,1,0,0,1,1,
Rainbow Beads,,1,0,1,0,1,0,0,1,0,,,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
Monkey tail grass,POMO5,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Rusty Fuzz Shrubs,RHODO,0,1,1,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Early azalea,RHPR,0,1,1,0,1,0,1,0,0,,,0,0,0,0,0,0,1,0,3,,0,0,0,0,1,0,0,0,0,0,1,0,
salix,SANI,1,1,0,1,0,1,0,0,0,13,1.2,15.6,0,0,0,0,0,0,1,,81cm,0,0,1,0,0,0,0,1,0,0,0,1,
Trumpet Creeper,CARA2,1,0,0,1,1,1,0,0,0,10,,0,0,1,0,0,0,0,0,,35cm,0,0,0,0,1,0,0,0,0,0,0,0,
Golden Rain Tree,KOEL,1,0,1,0,1,1,0,0,0,60,8,480,0,0,0,0,0,0,1,,,0,0,0,0,0,0,0,0,0,0,1,0,
"Spiral seed, Yellow slinky seed clover, slinky spur clover",MEPO3,1,0,0,1,1,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,
Spiral Seed Clover,MELU,1, ,0,1,1,0,0,1,0,3,2,6,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,1,0,0,0,
Psilotum,PSILO4,1,0,0,1,1,0,0,1,0,50,0.5,25,0,0,0,0,1,0,0,,,0,0,1,0,0,0,0,0,0,0,0,1,
Caryx 1,CACH3,0,1,0,1,1,0,0,0,1,15,1,15,0,0,0,0,1,0,0,,5 cm,0,0,0,0,1,0,0,0,1,0,0,0,
Skin Vine,CITR2,0,1,0,1,0,1,1,0,0,8,4,32,0,1,0,0,0,0,0,,,0,0,1,0,0,0,0,0,1,0,0,0,
Hop Sedge,CYVI2,0,1,0,1,1,0,0,0,1,10,1,10,0,0,0,0,1,0,0,,4 cm,0,1,0,0,0,0,0,0,0,0,1,0,
Caryx 5,JUDI,0,1,0,1,1,0,0,0,1,5,0.5,2.5,0,0,0,0,1,0,0,,2 cm,0,1,0,0,0,0,0,1,0,0,0,0,
Flatsedge,CYOX,0,1,0,1,1,0,0,0,1,7,0.5,3.5,0,0,0,0,1,0,0,,5 cm,0,1,0,0,0,0,0,0,1,0,0,1,
Big flatsedge,CYOP,1,1,0,1,1,0,0,1,0,20,0.5,10,1,0,0,0,0,0,0,,,0,1,0,0,0,0,0,0,0,0,1,0,
Cup leaf flower,VEPE2,1,0,0,1,1,0,0,1,0,5,2,10,1,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,1,0,0,0,
Wispy corkscrew,COBO,1,0,0,1,1,0,0,1,0,9,2,18,1,0,0,0,0,0,0,,.5 cm,0,1,0,1,0,0,0,1,0,0,0,0,
Cyperus sp.,CAVU7,1,0,0,1,1,0,0,1,0,25,3,75,1,0,0,0,0,0,0,,3 cm,0,1,0,0,0,0,0,0,1,0,0,0,
Yucca,YULO,0,1,0,1,1,0,0,0,1,105,5,525,0,0,0,0,0,1,0,1,,0,0,1,0,0,0,0,0,1,0,1,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382 on p/a sheet??,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
